country,location_name,dedication,contract_type,satisfaction_with_income,looking_for_job,job_title,years_of_experience,seniority_in_company,time_in_position,work_modality,state,career,university,age,gender_identity,seniority,annual_base_pay
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Developer,2.0,2.0,2.0,100% remoto,,,,25,Prefiero no decir,Junior,16128.0
Argentina,Buenos Aires,Full-Time,Remote (foreign company),3,"No, but I am open to offers.",SysAdmin / DevOps / SRE,20.0,1.0,15.0,100% remoto,,,,42,Male,Senior,36960.0
Argentina,Mendoza,Full-Time,Staff (permanent),2,"Yes, I am actively looking.",BI Analyst / Data Analyst,10.0,10.0,7.0,100% presencial,,,,35,Prefiero no decir,Senior,10920.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),1,"Yes, I am actively looking.",Developer,1.0,1.0,1.0,Hybrid (in-person and remote),,,,34,Male,Junior,3057.6000000000004
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Manager / Director,8.0,5.0,3.0,Hybrid (in-person and remote),In progress,Licenciatura en Administración de Empresas,Universidad Siglo 21,31,Male,Senior,14112.0
Argentina,Chaco,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Developer,10.0,3.0,1.0,Hybrid (in-person and remote),Completed,,,30-40,Prefiero no decir,Senior,10080.0
Argentina,Córdoba,Full-Time,Staff (permanent),4,"No, I am very satisfied.",Developer,3.0,0.0,0.0,100% remoto,Completed,Analista de Sistemas,,28,Male,Semi-Senior,16632.0
Argentina,Buenos Aires City,Part-Time,Staff (permanent),4,"No, but I am open to offers.",Architect,3.0,0.0,0.0,Hybrid (in-person and remote),,,,31,Macho lomo plateado,Semi-Senior,21840.0
Argentina,Buenos Aires,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Developer,1.0,1.0,1.0,100% remoto,In progress,Tecnicatura en Informática,UNGS - Universidad Nacional de General Sarmiento,28,Male,Junior,10180.8
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"Yes, I am actively looking.",Ecommerce Manager,7.0,0.0,6.0,100% presencial,Completed,Data Science y Product Licenciatura en Marketing,UTN - Universidad Tecnológica Nacional,36,Female,Senior,7324.799999999999
Argentina,Buenos Aires City,Full-Time,Contract,1,"No, but I am open to offers.",Consultant,2.0,2.0,2.0,100% remoto,,,,26,Male,Junior,7341.3984
Argentina,Buenos Aires City,Full-Time,Contract,3,"No, but I am open to offers.",Automation Tester,3.0,2.0,2.0,100% remoto,In progress,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,25,Mujer,Semi-Senior,7434.0
Argentina,Buenos Aires,Full-Time,Staff (permanent),4,"No, but I am open to offers.",Developer,2.0,2.0,2.0,100% remoto,,,,24,Male,Junior,10483.2
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",SysAdmin / DevOps / SRE,2.0,1.0,2.0,Hybrid (in-person and remote),,,,28,Male,Junior,8803.2
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,2.0,1.0,2.0,100% remoto,,,,24,Male,Junior,10752.0
Argentina,Córdoba,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Data Engineer,5.0,2.0,2.0,100% remoto,,,,32,Male,Semi-Senior,13440.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",BI Analyst / Data Analyst,1.0,1.0,0.0,100% remoto,,,,22,Male,Junior,7123.200000000001
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,6.0,0.0,6.0,100% remoto,,,,30,Male,Senior,13440.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Middleware,14.0,4.0,4.0,100% remoto,,,,44,Male,Senior,20160.0
Argentina,Entre Ríos,Full-Time,Staff (permanent),2,"No, but I am open to offers.",SysAdmin / DevOps / SRE,5.0,0.0,0.0,100% remoto,,,,41,Male,Semi-Senior,13608.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"Yes, I am actively looking.",SysAdmin / DevOps / SRE,4.0,1.0,1.0,100% remoto,,,,29,Male,Semi-Senior,13272.0
Argentina,Buenos Aires,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Project Manager,25.0,2.0,2.0,100% remoto,,,,47,Male,Senior,28896.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Developer,3.0,3.0,3.0,100% remoto,Completed,Tecnicatura en Programación,UNLaM - Universidad Nacional de La Matanza,25,Male,Semi-Senior,11088.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",BI Analyst / Data Analyst,4.0,1.0,3.0,100% remoto,,,,26,Male,Semi-Senior,17572.800000000003
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Manager / Director,16.0,4.0,1.0,Hybrid (in-person and remote),Completed,Diseño Gráfico,UBA - Universidad de Buenos Aires,37,Male,Senior,28968.643200000002
Argentina,Buenos Aires,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Technical Leader,17.0,4.0,4.0,Hybrid (in-person and remote),Completed,Tecnicatura en Sistemas,UTN - Universidad Tecnológica Nacional,40,Male,Senior,15892.800000000001
Argentina,Buenos Aires City,Full-Time,Staff (permanent),1,"Yes, I am actively looking.",Manager / Director,34.0,5.0,4.0,Hybrid (in-person and remote),,,,48,Male,Senior,14784.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Data Engineer,5.0,2.0,2.0,100% remoto,,,,31,Male,Semi-Senior,28896.0
